Where are you from? 	고향이 어디십니까? 
Act on what's in your heart. 	당신의 마음을 따라 행동하세요. 
This one is on me. 	이것은 제가 낼게요. 
It's my treat. 	이건 제가 대접합니다. 
I'll pick up the tab. 	제가 계산할게요. 
What are the odds against winning the lottery? 	복권에 당첨될 확률이 어떻게 되나요? 
What are the odds against passing the bar exam? 	사법시험에 합격할 확률이 어떻게 되나요? 
What are the odds against making it into the finals? 	결승전에 진출할 확률이 어떻게 되나요? 
You can't hold that against him. 	당신은 그것을 그 사람 탓으로 할 수 없어요. 
You can't hold that against your father. 	당신은 그것을 당신 아버지 탓으로 할 수 없어요. 
You can't hold that against me. 	당신은 그것을 내 탓으로 할 수 없어요. 
You need a second opinion. 	당신은 다른 사람 의견도 들어봐야 해요. 
You need a second opinion from your friends. 	당신은 당신 친구들 의견도 들어봐야 해요. 
You need a second opinion from your boss. 	당신은 당신 사장 의견도 들어봐야 해요. 
Will you join us for the opera tomorrow? 	당신은 내일 오페라에 우리와 함께 가시겠어요? 
Will you join us for the play tomorrow? 	당신은 내일 연극에 우리와 함께 가시겠어요? 
Will you join us for the fashion show tomorrow? 	당신은 내일 패션쇼에 우리랑 함께 가시겠어요? 
I look forward to seeing it. 	저는 그걸 보는 게 기대돼요. 
I can't wait to see it. 	저는 그게 보고 싶어 참지 못하겠어요. 
I‘m dying to see it. 	저는 그게 보고 싶어 죽겠어요. 
I have a date with my boss. 	전 사장님과 만날 약속이 있습니다. 
I have a date with my teacher. 	전 선생님과 만날 약속이 있습니다. 
I have a date with my colleagues.	전 동료와 만날 약속이 있습니다. 
The windshield needs cleaning. 	차 앞 유리를 닦아야겠네요. 
The mirror needs cleaning. 	거울을 닦아야겠네요. 
The house needs cleaning. 	집을 청소해야겠네요. 
This incident reminds under wraps. 	이 사건은 비밀에 붙입니다. 
This incident reminds a secret. 	이 사건은 비밀로 합니다. 
This incident should be kept to yourself. 	이 사건은 당신만 알고 있어야 합니다. 
We'll open the exhibit as if nothing has happened. 	아무 일도 없었던 듯 전시회를 열 겁니다. 
We'll start the contest as if nothing has happened. 	아무 일도 없었던 듯 대회를 시작할 겁니다. 
We'll hold a press conference as if nothing has happened. 	아무 일도 없었던 듯 기자회견을 열 겁니다. 
Why not auction it off ourselves? 	왜 우리가 직접 경매를 하면 안 되죠? 
Why not do it ourselves? 	왜 우리가 직접 그 일을 하면 안 되죠? 
Why not finish the work ourselves? 	왜 우리가 직접 그 일을 매듭지으면 안 되죠? 
`That way, we can win the game. `	그렇게 하면 우리가 경기를 이길 수 있어요. 
`That way, we can make a lot of money. `	그렇게 하면 우린 돈을 많이 벌 수 있어요. 
`That way, we can beat the other team. `	그렇게 하면 우린 다른 팀을 이길 수 있어요. 
He created a diversion. 	그는 소란을 피웠습니다. 
He created peace among nations. 	그는 국가간 평화를 일궈냈습니다. 
He created a new position for me in his company. 	그는 나를 위해 그의 회사에 새로운 자리를 마련해 주었습니다. 
We'll collar him. 	우리는 그를 체포할 겁니다. 
We'll arrest him. 	우리는 그를 체포할 겁니다.
He'll be under arrest. 	그는 체포될 겁니다. 
I shouldn't have done it that way. 	전 그런 방식으로 일하지 말았어야 했어요. 
I shouldn't have yelled at him. 	전 그 사람에게 소리 지르지 말았어야 했어요. 
I shouldn't have been mad at him. 	전 그 사람에게 화내지 않았어야 했어요. 
She's the only one capable of doing it. 	그녀는 유일하게 그 일을 할 수 있는 사람입니다. 
She's the only one capable of doing anything. 	그녀는 유일하게 어떤 일이라도 할 사람입니다. 
She's the only one capable of operating the computer. 	그녀는 유일하게 컴퓨터를 다룰 줄 아는 사람입니다. 
I'm on the way. 	제가 가는 중입니다. 
I'm on the way to school. 	저는 학교에 가는 중입니다. 
I'm on the way to work. 	저는 출근하는 중입니다. 
She's a sight for sore eyes. 	그녀는 정말 예쁩니다. 
My baby is a sight for sore eyes. 	우리 아기는 정말 귀엽습니다. 
Your new car is a sight for sore eyes. 	당신 새 차는 정말 좋아 보입니다. 
How many times have I told you to bring it? 	내가 당신에게 몇 번이나 그걸 가져오라고 얘기했습니까? 
How many times have I told you to get up early? 	내가 당신에게 몇 번이나 일찍 일어나라고 얘기했습니까? 
How many times have I told you to stay out of the grass? 	내가 당신에게 몇 번이나 잔디에는 들어가지 말라고 얘기했습니까? 
He specializes in the field of medicine. 	그는 의약품 분야에 전문입니다. 
He specializes in politics. 	그는 정치학 전문입니다. 
He specializes in chemistry. 	그는 화학 전문입니다. 
It's not that I want this interview to end. 	내가 이 인터뷰가 끝나길 원하는 것은 아닙니다. 
It's not that I want you to leave.	내가 당신이 떠나길 바라는 건 아닙니다. 
It's not that I want this contract to be canceled. 	내가 이 계약이 취소되길 바라는 건 아닙니다. 
I'm happy I got this chance to know you. 	전 당신을 알게 될 기회를 갖게 되어서 기쁩니다. 
I'm happy I got this chance to be here. 	전 여기에 올 기회를 갖게 되어서 기쁩니다. 
I'm happy I got this chance to participate in this project. 	전 이 기획에 참가할 기회를 갖게 되어서 기쁩니다. 
I learned that the hard way. 	전 그걸 어렵게 배웠습니다. 
You'll learn things the hard way. 	당신은 어렵게 일을 배울 겁니다. 
I lived life the hard way. 	전 어렵게 인생을 살았습니다. 
You must keep it in sight. 	당신은 그걸 보이는 곳에 보관해야 합니다. 
You must keep your little boy in sight. 	당신은 당신의 어린 아들을 보이는 데 있게 해야 합니다. 
I will keep it in sight while you're gone. 	당신이 떠나 있을 동안 제가 그걸 가까이 두고 보관할 겁니다. 
Whoever finishes it will get a big promotion. 	누구든 그 일을 끝내면 엄청난 승진을 할 겁니다. 
Whoever convinces her will get a big promotion. 	누구든 그녀를 설득하면 엄청난 승진을 할 겁니다. 
Whoever suggests good ideas will get a big promotion. 	누구든 좋은 아이디어를 제안하면 엄청난 승진을 할 겁니다. 
There's nothing like the warm sea air. 	따뜻한 바다 공기처럼 좋은 것은 없습니다. 
There's nothing like eating my favorite foods. 	내가 좋아하는 음식을 먹는 것처럼 좋은 것은 없죠. 
There's nothing like being with her. 	그녀와 함께 있는 것처럼 좋은 것은 없죠. 
Did you pop the question? 	당신이 청혼했나요? 
Did you propose? 	당신이 청혼했어요? 
Did you ask her to marry you? 	당신이 그 여자에게 결혼하자고 했어요? 
May I make you a cocktail? 	제가 당신에게 칵테일을 만들어 드릴까요?
May I make you tea? 	제가 당신에게 차를 끓여 드릴까요? 
May I make you coffee? 	제가 당신에게 커피를 끓여 드릴까요? 
I can't wait any longer. 	전 더 이상 기다릴 수 없어요. 
I can't tolerate it any more. 	전 더 이상 참을 수 없어요. 
I can't stand it here any longer. 	전 더 이상 여기에 못 있겠어요. 
Do you know what I came here for? 	당신은 내가 여기 왜 왔는지 알아요? 
Tell me what you came here for. 	당신이 여기 왜 왔는지 내게 말해 봐요. 
What did you say you came here for? 	당신이 여기 왜 왔다고 하셨죠? 
Does this mean no story in the paper? 	이건 신문에 기사가 나지 않을 거라는 뜻인가요? 
Does this mean no payment for me? 	이건 내게 돈을 지불하지 않겠다는 뜻인가요? 
Does this mean no raise for a while? 	이건 당분간 임금 인상이 없을 거라는 뜻인가요? 
I'm sorry I had to deceive you. 	당신을 속여서 죄송합니다. 
I'm sorry I had to lie to you. 	당신에게 거짓말을 해서 죄송합니다. 
I'm sorry I have to leave so soon. 	이렇게 일찍 떠나게 되어 죄송합니다. 
He didn't return home all night. 	그는 밤새도록 집에 돌아오지 않았어요. 
He didn't get back home all night. 	그는 밤새도록 집에 돌아오지 않았어요. 
He didn't come home all night. 	그는 밤새도록 집에 오지 않았어요. 
Why is he always one step ahead of me? 	왜 그는 항상 저보다 한발 앞서가는 거죠? 
Why does he always beat us? 	왜 항상 우리는 그 사람에게 못 당하는 거죠? 
Why is he always in front of us? 	왜 그는 항상 우리 앞에 있는 거죠? 
She's not what you think.	그녀는 당신이 생각하는 사람이 아닙니다. 
He's not what you think. 	그는 당신이 생각하는 사람이 아닙니다. 
James's not what you think. 	제임스는 당신이 생각하는 사람이 아닙니다. 
Don't tell me yesterday meant nothing to you. 	어제 일이 당신에게 아무런 의미가 없다고 제게 말하지 말아요. 
Doesn't our promise mean anything to you? 	우리 약속이 당신에게는 아무런 의미가 없는 건가요? 
Does my present mean nothing to you? 	제가 드리는 선물이 당신에게는 아무런 의미가 없는 건가요? 
Do you have a Sarah Kim registered here? 	사라 김이라는 사람이 여기 등록되어 있나요? 
Do you have a Jim Baker registered at this hotel? 	짐 베이커라는 사람이 이 호텔에 묵고 있나요? 
Do you have a Susan Baker registered for this course? 	수전 베이커라는 사람이 이 과목 수강을 신청했나요? 
What hotel are you with? 	당신 어느 호텔에서 일하죠? 
What restaurant are you with? 	당신 어느 식당에서 일합니까? 
What company are you with? 	당신 어떤 회사에서 일합니까? 
That's why he went after her. 	그래서 그가 그녀 뒤를 쫓았던 거군요. 
That's why he went after the job. 	그래서 그가 그 일자리를 잡으려고 했던 거군요. 
That's why he went after the position. 	그래서 그가 그 자리를 차지하려고 했던 거군요. 
Why would she go to Brazil? 	왜 그녀는 브라질에 가려고 했을까요? 
Why would she take that responsibility? 	왜 그녀는 책임을 지려고 했을까요? 
Why would she say that in front of him? 	왜 그녀는 그 사람 앞에서 그런 말을 하려 했을까요? 
Did I interrupt you? 	제가 방해가 됐나요? 
Did I interrupt you during your nap? 	제가 낮잠 주무시는 걸 방해했나요? 
Did I interrupt you in your meeting? 	제가 당신 회의를 방해했나요?
You go on back to work. 	어서 자리로 돌아가세요.(직장에서) 
You go on back to sleep. 	어서 계속 주무세요. 
You go on back to school. 	어서 학교로 돌아가세요. 
Could I talk to you in private? 	제가 당신과 둘이서만 얘기할 수 있을까요? 
He wants to have a word with you in private. 	그는 당신과 긴히 얘기를 나누고 싶어 합니다. 
I don't mind what people do in private. 	전 사람들이 사적으로 무슨 일을 하든 신경 쓰지 않습니다. 
